Feature,Abs_Pearson,Mutual_Info_Score,RF_Importance,Abs_Pearson_Norm,MI_Score_Norm,RF_Importance_Norm,Combined_Score
median_income,0.6880752079585478,0.38751686791358786,0.4100976490999411,1.0,0.9698687329307812,1.0,0.9899562443102604
price_per_sqft,0.09530850734748131,0.1922414120774114,0.27296041640270097,0.1384742213566527,0.48113759731852324,0.6655646124193453,0.42839214369817374
latitude,0.14416027687465924,0.37188702105962257,0.005205073914275591,0.20947527242214092,0.9307506944160352,0.01259196610963461,0.38427264431593694
longitude,0.045966615117978546,0.39955599634867767,0.005426872212911488,0.06676082706689782,1.0,0.013132863709142018,0.35996456359201323
total_rooms,0.13415311380656308,0.04157065433820151,0.2083190641547051,0.19493088430896774,0.10404212355237523,0.5079243037474963,0.26896577053627974
population_density,0.023737412956134345,0.07348123050353106,0.02620615880069523,0.034452955046824905,0.1839072149461792,0.06380713084254035,0.09405576694518149
housing_median_age,0.10562341249320993,0.03341957879621127,0.011774683485581116,0.15346588110769002,0.08364179014109263,0.02861321635670452,0.08857362920182905
lot_size,0.10997416198852344,0.017756578080626362,0.006666034983301182,0.15978925055939527,0.044440774867337635,0.016154799278643526,0.07346160823512547
total_bedrooms,0.04945686192085458,0.02586245144878152,0.02308732441388931,0.07183354385649726,0.06472797726757759,0.0562012563004015,0.06425425914149212
bedrooms,0.05614429213863159,0.009051546165737223,5.285990845796536e-05,0.081553039772098,0.022654011573982925,2.7306213527694694e-05,0.03474478585320288
population,0.02464967888889489,0.020669435041146933,0.005942944247139524,0.03577884028504953,0.05173100949562395,0.014391404131695427,0.033967084637456305
bathrooms,0.05057503239131559,0.005253136146869064,4.16628321386273e-05,0.07345869028295281,0.01314743413908084,0.0,0.028868708140677882
condition_score,0.016291846919437768,0.0,0.0031529383685862783,0.023631586250985152,0.0,0.007587440838909533,0.010406342363298229
school_rating,0.013978941412440684,0.0,0.003364622813482941,0.020270014631341194,0.0,0.008103673870460532,0.009457896167267242
local_unemployment_rate,0.007910763332784631,0.0,0.0031428707203877753,0.011450538369208237,0.0,0.0075628889520071236,0.006337809107071786
walkability_score,0.001549327207751489,0.003130739078136102,0.0033555763158451234,0.00220484152885037,0.007835545222061998,0.008081612254630567,0.006040666335180978
garage_spaces,0.005464302989917312,0.0013798796078421383,0.000820336250042547,0.007894858453929461,0.00345353247217436,0.0018989441539218933,0.004415778360008572
distance_to_downtown,0.0002565891010235036,0.0017421240592199183,0.003089281135594806,0.00032597889565480714,0.004360149954299851,0.007432200493387791,0.004039443114447483
crime_rate,0.0028964421037849467,0.0,0.0032311075459906906,0.004162735264329899,0.0,0.007778071338212526,0.003980268867514142
days_on_market,0.002406129301143454,0.0,0.0030373615153293752,0.003450115748694058,0.0,0.007305584562870628,0.0035852334371882285
recent_renovation,0.006638481453555215,0.0,0.0003189455639609132,0.009601406770677145,0.0,0.0006762070085746681,0.0034258712597506047
has_pool,0.0027410141540538543,0.0,0.000301596698149787,0.003936836634604276,0.0,0.0006338984790272031,0.0015235783712104932
has_fireplace,3.230163425678727e-05,0.0003840854615628775,0.0004046186168926051,0.0,0.0009612806842415659,0.0008851371444604052,0.0006154726095673237
